"regionrus","excess10","excess","regionkz","dustkz","lowconsentration","maxconsentration","excesslc","excessmc","excess5","dustrus"
"Жезказган","","35","Жезқазған қаласы","Фенол","0.01","0.03","2.4","2.6","","Фенол"
"Сарань","","","Саран қаласы","Көміртегі оксиді","0.29","2.65","0.1","0.53","","Оксид углерода"
"Темиртау","","1","Теміртау қаласы","Қалқыма бөлшектер (шаң)","0.15","0.5","1","1","","Взвешенные частицы (пыль)"
"Темиртау","","3","Теміртау қаласы","Көміртегі оксиді","0.59","8.07","0.2","1.6","","Оксид углерода"
"Темиртау","","","Теміртау қаласы","Сынап","0","0","0","","","Ртуть"
"Костанай","","1","Қостанай қаласы","РМ-2,5 қалқыма бөлшектері","0.0244","0.3255","0.698","2.03","","Взвешенные частицы РМ-2,5"
"Костанай","","","Қостанай қаласы","Азот диоксиді","0.0275","0.2153","0.69","1.1","","Диоксид азота"
"Рудный","","","Рудный қаласы","Азот диоксиді","0.02","0.12","0.6","0.6","","Диоксид азота"
"Карабалык","","","Қарабалық қаласы","Көміртегі оксиді","0","0","0","0","","Оксид углерода"
"Карабалык","","","Қарабалық қаласы","Аммиак","0.0004","0.0076","0.01","0.04","","Аммиак"
"Кызылорда","","","Қызылорда қаласы","Көміртегі оксиді","0.1896","3.6607","0.06","0.73","","Оксид углерода"
"Акай","","","Ақай кенті","Күкіртди оксиді","0.0054","0.03","0.11","0.05","","Диоксид серы"
"Акай","","","Ақай кенті","Формальдегид","0","0","0.05","0.01","","Формальдегид"
"Торетам","","","Төретам кенті","Көміртегі оксиді","0.1968","1.8775","0.07","0.38","","Оксид углерода"
"Торетам","","","Төретам кенті","Азот диоксиді","0.0101","0.11","0.25","0.54","","Диоксид азота"
"Актау","","","Ақтау қаласы","Қалқыма бөлшектер (шаң)","0.036","0.16","0.24","0.3","","Взвешенные частицы (пыль)"
"Актау","","","Ақтау қаласы","Көміртегі оксиді","0.344","2.723","0.11","0.5","","Оксид углерода"
"Актау","","","Ақтау қаласы","Көмірсулар","2.024","2.5","","","","Углеводороды"
"Бейнеу","","","Бейнеу кенті","Азот оксиді","0.004","0.214","0.07","0.5","","Оксид азота"
"Павлодар","","","Павлодар қаласы","РМ-2,5 қалқыма бөлшектері","0.0052","0.0785","0.1486","0.4906","","Взвешенные частицы РМ-2,5"
"Павлодар","","7","Павлодар қаласы","Көміртег іоксиді","0.3721","6.1245","0.124","1.2249","","Оксид углерода"
"Павлодар","","","Павлодар қаласы","Фенол","0.0011","0.008","0.3667","0.8","","Фенол"
"Экибастуз","","","Екібастұз қаласы","РМ-10 қалқыма бөлшектері","0","0.0005","0","0.0017","","Взвешенные частицы РМ-10"
"Экибастуз","","","Екібастұз қаласы","Азот оксиді","0.0146","0.3607","0.2433","0.9018","","Оксид азота"
"Аксу","","3","Ақсу қаласы","Азот диоксиді","0.0227","0.2176","0.5675","1.088","","Диоксид азота"
"Петропавловск","","","Петропавл қаласы","РМ-10 қалқымабөлшектері","0.007","0.194","0.1","0.6","","Взвешенные частицы РМ-10"
"Петропавловск","","","Петропавл қаласы","Азот оксиді","0.004","0.143","0.1","0.4","","Оксид азота"
"Петропавловск","","","Петропавл қаласы","Аммиак","0.005","0.164","0.1","0.8","","Аммиак"
"Шымкент","","0","Шымкент қаласы","Азот диоксиді","0.060","0.120","1.510","0.600","","Диоксид азота"
"Шымкент","","0","Шымкент қаласы","Формальдегид","0.027","0.036","2.732","0.720","","Формальдегид"
"Туркестан","","0","Түркістан қаласы","Азот оксиді","0.0052","0.3636","0.087","0.909","","Оксид азота"
"Кентау","","0","Кентау қаласы","озон","0.0058","0.016","0.195","0.103","0","Озон (приземный)"
"Нур-Султан","","246","Нұр-Сұлтан қаласы","РМ-10 қалқымабөлшектері","0.08","0.89","1.3","3","","Взвешенные частицы РМ -10"
"Кокшетау","","","Көкшетау қаласы","Фторлысутек","0","0","0","0","","Взвешенные частицы (пыль)"
"Кокшетау","","","Көкшетау қаласы","Азот диоксиді","0.02","0.13","0.46","0.63","","Диоксид азота"
"Степногорск","","","Степногорск қаласы","Оксид азота","0.003","0.16","0.05","0.41","","Оксид азота"
"Атбасар","","","Атбасар қаласы","Диоксид серы","0.004","0.24","0.08","0.47","","Диоксид серы"
"Атбасар","","","Атбасар қаласы","Сероводород","0.004","0.01","","0.86","","Сероводород"
"СКФМ Боровое","","","Бурабай КФМС","РМ-10 қалқымабөлшектері","0.04","0.13","0.62","0.42","","Взвешенные частицы РМ-10"
